invoice_no,account_name,branch_code,entry_date,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,line_count,record_state
309868,PH elite Branch 2,763,23082025,12:28:32,blk 7 - FSL - square,,,5889.53,1187.03,4702.50,9,
309871,EL CARE 24 SEVEN FAISAL-A,742,26-Aug-2025,10:20:53,Faisal 131 Geish,,,1214.40,210.65,1003.75,3,CLSD
309873,Ph/Annel Branch 2,761,14082025,08:13:20,,,,2740.67,550.13,2190.54,4,CLSD
309874,Ph/ALPHA PHARMA SQARE br.2,768,09082025,15:39:39,"Tahrir 223, FSL zone",,,941.68,132.09,809.59,5,
309876,PY/Bettr Life Fasial 04,731,13-Aug-2025,10:21:55,,Giza,Mohandessin,4202.10,546.84,3655.26,6,CLSD
309877,silver care haramB ranch 2,715,11082025,10:37:24,Faisal 31 Abas,,,5058.96,843.17,4215.79,6,
309879,Ph/el zahraa imbaba (2),716,02-Aug-2025,09:19:27,"57 Nile st., near police st., FSL",,,4910.23,930.64,3979.59,5,
309880,EL El Zahraa Imbaba Main Road,759,27082025,08:27:33,blk 16 - FSL - square,,,6308.00,1170.82,5137.18,7,CLSD
309881,Blue Wave Montza,721,07082025,11:15:06,Faisal 166 9thDistrict,Giza,Faisal,5821.45,1616.25,4205.20,7,
309884,ELIET Station St.,771,06082025,16:51:04,"169 Horreya st., near mosque, FSL",,,5480.11,433.42,5046.69,6,
309885,El-elite StationS t.,725,08082025,08:05:06,blk 3 - FSL - market,,,1949.58,181.09,1768.49,4,CLSD
309886,El-Elite Station St.,744,03082025,13:57:57,blk 14 - FSL - market,,,3768.97,473.43,3295.54,4,CLSD
309887,Elite,727,28082025,18:57:21,,,,984.53,125.73,858.80,3,
309889,CARE 24 SEVEN Mall,754,14082025,14:41:11,,,,3701.29,634.28,3067.01,6,CLSD
309891,ebn sina faisal,732,26082025,17:34:51,Faiisal 235 Geish,,,6367.87,750.63,5617.24,5,CLSD
309892,NIILEE CARE,769,01082025,12:27:45,FSL/195,,,5242.03,737.75,4504.28,5,
309894,nile care Mall603,726,24082025,13:44:31,blk 15 - FSL - school,,,3312.47,330.34,2982.13,4,CLSD
309896,EL Nile Care-A,731,07082025,08:05:31,,,,2263.70,232.70,2031.00,4,CLSD
309899,PH bette rlife faisal (2),708,09082025,12:44:09,"3 Nile st., near gas station, FSL",,,5210.13,776.20,4433.93,7,CLSD
309901,Better Life Faial-A,743,07082025,14:07:27,"Sudan 175, FSL zone",,,7959.33,750.72,7208.61,8,
309902,eliteharam,770,20082025,08:04:52,blk 11 - FSL - square,,,8996.28,696.73,8299.55,12,
309903,ELITE HARMA 011,755,15082025,11:58:02,"Mustafa Nahhas 221, FSL zone",,,2513.83,491.35,2022.48,6,CLSD
309904,PYE/l Zahraa Obour (2),746,16082025,15:11:00,Faisal 40 9thDistrict,,,4171.06,541.32,3629.74,4,CLSD
309905,OMEGA AGAMI 011677,761,14082025,21:01:00,blk 1 - FSL - square,,,5864.88,1280.01,4584.87,8,CLSD
309906,el Union Pharm Zyed Mall,723,19-Aug-2025,16:14:29,,Giza,Faisal,2222.98,269.60,1953.38,4,
309908,unoin pharm zayed 04,707,07-Aug-2025,08:26:39,,,,4033.52,802.18,3231.34,5,CLSD
309910,EL Better Life Nozha Branch 1,717,19082025,08:50:23,,,,3202.91,787.88,2415.03,4,
309911,EL Health Gate Zayed 6th Zone,745,16-Aug-2025,09:56:11,blk 24 - FSL - school,,,1846.31,180.04,1666.27,4,CLSD
309912,Health Gate Zayed (2),742,13082025,16:15:16,,,,1502.99,340.72,1162.27,2,CLSD
309913,Hope Mall,769,02082025,16:53:02,,,,1413.44,183.58,1229.86,4,CLSD
309915,El-GREEN LEAF FAISAL 04,741,21082025,08:54:22,"Geish 3, FSL zone",,,2548.18,612.62,1935.56,4,
309917,salamtek faisal,767,13082025,12:45:32,,,,2952.68,345.31,2607.37,4,
309918,PH el shifa hhelwan Station St.,776,26082025,13:49:28,,,,3846.17,490.81,3355.36,7,CLSD
309919,PH el shifa helwan Station St.,721,22082025,13:32:35,Faisal 212 Tarhir,,,2517.84,606.69,1911.15,5,
309920,El-Metro Obour Branch 1,711,10082025,19:24:42,"9th District 104, FSL zone",,,7425.68,932.95,6492.73,10,CLSD
309923,Ph/METRO OBOUR,737,16082025,14:07:20,,,,1899.77,333.08,1566.69,5,
309924,Ph/nile care faisal (2),747,10082025,09:41:47,"182 Tahrir st., near gas station, FSL",,,3951.66,655.53,3296.13,4,CLSD
309926,GREENLEAF br.2,776,15082025,13:31:36,"186 Abbas st., near gas station, FSL",,,6173.73,878.09,5295.64,8,CLSD
309928,PY/merto Station St.,759,18082025,16:24:21,,,,2610.01,593.32,2016.69,7,
309929,el CITY CARE REHAB VIEW Station St.,710,04082025,11:09:28,"160 Salah Salem st., near metro, FSL",,,2015.07,249.84,1765.23,5,CLSD
309930,city carerehab view Branch 1,743,07082025,11:06:58,"Nile 64, FSL zone",,,845.69,119.97,725.72,2,
309932,EL Pharma Plus Dokki 6th Zone62,727,01082025,14:11:01,"Geish 229, FSL zone",,,3702.54,374.92,3327.62,5,CLSD
309933,PH pharma plus dokki 6th Zone,707,26082025,08:03:39,,Cairo,Nasr City,1869.85,302.83,1567.02,6,CLSD
309934,Ell-Golden Care Imbaba 04,730,10082025,15:29:56,"26 Geish st., near gas station, FSL",,,3534.99,751.48,2783.51,2,
309935,Ell-Golden Care Imbaba 04,759,14082025,08:49:38,"Sudan 164, FSL zone",,,2763.90,686.99,2076.91,5,CLSD
309936,PY/NILE CARE FAISAL Branch 2,754,12082025,14:06:35,,,,4890.43,926.58,3963.85,6,CLSD
309937,PY/El Zahraa Faisal 6th Zone,746,16-Aug-2025,12:47:58,,,,6904.24,601.84,6302.40,11,
309938,EL el zahraa faisal-A,739,17082025,12:11:48,,,,5636.35,1030.08,4606.27,10,CLSD
309939,El-NIL CARE (2),774,09-Aug-2025,08:15:54,,,,1297.23,278.26,1018.97,4,
309940,PH METRO FAISAL,769,09082025,11:48:12,,,,4475.83,575.67,3900.16,9,CLSD
309941,alphap harma-A979,703,02-Aug-2025,16:56:21,Faaisal 9 Sudan,Giza,Faisal,2512.40,191.97,2320.43,7,CLSD
309943,Snurise 011,759,10082025,13:32:47,,,,5169.61,1141.18,4028.43,13,CLSD
309944,Snurise 0011,729,22082025,14:48:17,blk 14 - FSL - mosque,,,3950.44,675.27,3275.17,4,
309946,al nozha Mall,729,11082025,15:09:00,,,,2373.60,524.31,1849.29,4,
309947,EL al amal faiasl 6th Zone,709,01082025,10:52:03,"184 Mustafa Nahhas st., near market, FSL",,,5557.91,1115.51,4442.40,6,CLSD
309949,El Hokama Faisal Branch 2,754,13082025,13:24:29,,,,3313.77,762.94,2550.83,11,
309950,star care faisal Branch 1,775,04082025,16:16:32,"Abbas 211, FSL zone",,,6379.51,1582.34,4797.17,10,CLSD
309951,Star Care Faisal 04,766,04082025,14:45:05,,Alexandria,Smouha,4558.11,544.93,4013.18,3,CLSD
309953,PH dr medhat nozha Station St.465,729,04082025,12:09:16,FSL/70,Giza,Faisal,3298.75,649.11,2649.64,9,
309955,PH alpha pharma baanha-A,700,12082025,10:23:51,,,,4331.46,1156.24,3175.22,8,
309956,EL Alpha Pharma Bnaha 011,774,19082025,12:57:05,,,,2411.37,494.25,1917.12,3,
309957,EL El Zahraa,717,16082025,11:07:00,,,,3713.72,867.21,2846.51,5,CLSD
309958,PY/EL ZHARAA Main Road,746,15082025,14:01:57,,,,1658.86,167.51,1491.35,5,
309959,Health Gate Obour 0011511,725,02082025,11:13:02,blk 7 - FSL - market,,,4721.65,505.62,4216.03,6,CLSD
309960,Ph/Ell Zahraa Faisal br.2,739,21082025,15:45:05,"Geish 41, FSL zone",,,4115.82,906.59,3209.23,6,
309961,PY/olden Care-A84,720,19082025,08:16:16,,Giza,Faisal,2983.57,750.84,2232.73,8,CLSD
309962,el Staar Care 04,742,16082025,13:17:58,FSL/11,,,6775.48,1618.60,5156.88,7,
309964,PY/City Care Faisal Branch 2,759,08082025,11:11:49,"Zayed 96, FSL zone",,,1836.20,340.60,1495.60,4,CLSD
309968,el El Faraby Faisal 04,771,06082025,14:44:26,Faisal 0 Sudan,,,8423.07,615.85,7807.22,9,CLSD
309969,PY/El Faraby Faisal Branch 2,729,25082025,12:52:09,"Port Said 133, FSL zone",Alexandria,Smouha,5119.12,1101.40,4017.72,11,CLSD
309970,Dr Medhat Immbaba35,739,15082025,17:13:36,,,,10393.36,1818.00,8575.36,11,CLSD
309971,A Amal 6th Zone,727,22-Aug-2025,08:47:42,blk 8 - FSL - school,,,3939.06,392.43,3546.63,6,
309973,EL ALPHA WH-264,720,20082025,13:00:39,,,,589.93,162.04,427.89,5,
309975,Misr Mall,748,09-Aug-2025,14:59:05,,Cairo,Nasr City,11640.03,2590.38,9049.65,10,CLSD
309976,Sunrise,776,01082025,09:03:01,,,,1501.87,193.24,1308.63,7,
309978,el al aal marg,702,01082025,12:22:20,,Giza,Faisal,4768.14,343.29,4424.85,8,CLSD
309979,Ph/City Care Mall,776,27082025,12:10:14,FSL/74,,,1834.16,265.65,1568.51,6,CLSD
309980,Ph/Al Nozha Faisal 04644,747,13082025,08:03:46,"143 Abbas st., near market, FSL",,,7210.52,1595.85,5614.67,12,CLSD
309982,El Zahraa (2),747,07082025,13:08:26,,,,4552.85,947.31,3605.54,11,
309983,El-gree leeaf Branch 1,723,24082025,08:20:00,"200 Industrial Zone st., near hospital, FSL",,,9864.60,1458.66,8405.94,10,CLSD
309984,el GREEN LEAF 04,751,02082025,08:18:23,FSL/12,,,4994.37,706.64,4287.73,7,CLSD
309986,Pharma Plus Square br.2,742,15-Aug-2025,16:07:19,Faisal 203 Prt Said,,,4490.92,1001.68,3489.24,9,
309987,Ph/phrama plus square 04,765,20082025,10:50:19,blk 17 - FSL - gas station,,,1035.38,63.10,972.28,2,CLSD
309988,PHARRMA PLUS SQUARE 6th Znoe,758,14-Aug-2025,16:19:08,"237 Gamet Dewal st., near mosque, FSL",,,4181.40,733.34,3448.06,6,CLSD
309989,Ph/salamtek faisal Branch 2,715,22082025,12:50:41,"135 Industrial Zone st., near market, FSL",,,9015.42,1892.25,7123.17,12,
309990,PY/Salamtek Faisal,701,09082025,12:38:29,,Giza,Mohandessin,4882.47,1307.74,3574.73,10,CLSD
309992,Ph/Misr Branch 1,719,04082025,20:42:37,,,,7865.28,522.10,7343.18,10,CLSD
309993,Mir Branch 2,708,25082025,13:04:51,"80 Faisal st., near police st., FSL",,,781.08,127.54,653.54,7,CLSD
309996,EL BLUE WAVE FAISAL Mall,732,24082025,11:49:43,FSL/156,,,4254.60,665.05,3589.55,4,CLSD
309997,Blue Wave Faiisal 04,732,14082025,08:14:33,blk 4 - FSL - gas station,,,2173.91,249.08,1924.83,4,
309998,PHARRMA PLUS br.2,701,27082025,14:17:08,blk 16 - FSL - mosque,,,5053.86,1228.95,3824.91,4,CLSD
309999,Hope Faisal-A,724,11082025,14:23:59,"Sudan 64, FSL zone",,,7302.91,1052.17,6250.74,15,CLSD
310000,Ph/ALPHA PHARMA Branch 2,743,07082025,15:02:54,FSL/177,Giza,Faisal,3334.99,257.24,3077.75,9,
310001,PY/SUNRISE 04242,721,06082025,13:31:16,FSL/221,,,2823.54,867.42,1956.12,4,CLSD
310002,El Shif Faisal Main Road596,768,18082025,10:39:49,Faisal 36 aFisal,,,1713.56,216.92,1496.64,5,CLSD
310003,ElSunrie Mall687,772,21082025,15:47:35,,,,7015.79,725.89,6289.90,8,CLSD
310004,Ph/SUNRISE,732,23082025,11:21:28,"Gamet Dewal 89, FSL zone",Alexandria,Smouha,6134.64,786.87,5347.77,14,
310007,El-El Nasr Faisal Station St.,751,16082025,15:11:20,,Cairo,Nasr City,3880.26,556.56,3323.70,7,CLSD
310008,El-Ell Nasr Faisal Station St.,700,04082025,09:56:38,"9th District 11, FSL zone",,,12492.51,2985.22,9507.29,9,
310010,El Nasr Faisal011,731,18082025,13:28:13,"Port Said 69, FSL zone",Alexandria,Smouha,863.83,122.43,741.40,7,CLSD
310012,Ph/Pharmma Plus Faisal Main Road,736,22082025,08:36:11,FSL/200,,,3561.13,653.14,2907.99,8,CLSD
310013,PY/Pharma Plus Faisal 04251,714,16082025,15:18:37,blk 18 - FSL - police st.,,,4563.30,688.87,3874.43,9,
310014,EL ElHokama Faisal 04,763,20082025,12:30:46,blk 4 - FSL - metro,Giza,Faisal,1684.01,317.62,1366.39,4,
310015,PH blue wave br.2,734,08082025,14:35:00,,,,3891.16,691.21,3199.95,12,CLSD
310016,Dr Medhat Agami 011,732,08082025,15:11:14,Faisaal 172 Salah Salem,,,3511.28,427.52,3083.76,5,
310017,dr medhat agami55,776,02082025,12:31:48,,,,644.70,88.27,556.43,6,
310018,el dr medhat agami,705,20082025,16:46:39,FSL/220,Giza,Faisal,10869.23,1420.36,9448.87,13,CLSD
310019,el EL HOKAMA FAISAL Branch 2,704,25082025,08:15:04,,,,3344.94,164.02,3180.92,5,CLSD
310021,El-Alpha Pharma Branch 1,775,19-Aug-2025,12:03:26,FSL/195,,,3009.78,759.07,2250.71,10,
310023,EL ALPHA PHARMA 011112,776,28082025,12:03:15,,Giza,Faisal,3578.11,433.30,3144.81,7,
310024,EL El Shifa 04,740,25082025,10:25:30,FSL/227,,,6096.74,1524.06,4572.68,8,
310025,Star Care 04,762,16082025,14:28:18,"Geish 43, FSL zone",,,8870.37,1737.38,7132.99,9,CLSD
310026,PY/metro faisal,723,08082025,18:41:14,,Cairo,Nasr City,4014.00,490.95,3523.05,8,
310029,El-Care 24 Seven Dokki Main Road,734,24082025,13:01:51,,,,6215.26,1183.77,5031.49,7,
310030,PY/el baraka faisal Branch 1,751,16-Aug-2025,10:33:40,Faisal 10 Autostrad,,,2077.56,326.08,1751.48,7,
310031,PY/El Baraka Faisal Main Road,764,24082025,15:27:49,Faisal 2232 Abbas,,,2862.67,456.37,2406.30,8,CLSD
310035,BLUE WAVEF AIISAL 04,714,19082025,10:42:03,,,,6731.08,941.96,5789.12,13,CLSD
310036,BLUE WAVEF AISAL 04,715,17082025,18:05:06,,Giza,Mohandessin,1549.12,253.69,1295.43,5,
310037,El-Salamtek Mainn Road,701,22082025,09:49:23,,,,6790.98,1545.62,5245.36,9,
310038,UNION PHARM,764,19082025,09:22:44,blk 11 - FSL - bridge,,,5083.23,930.84,4152.39,8,
310041,El-Union Pharm Banha Branch 2,714,24-Aug-2025,13:35:21,"79 Tahrir st., near mosque, FSL",,,4158.32,639.64,3518.68,5,CLSD
310043,CIT CARE FAISAL (2),703,11082025,12:33:30,,,,3335.05,355.35,2979.70,5,CLSD
310044,CIT CARE FAIISAL (2),724,18082025,08:06:04,blk 27 - FSL - hospital,,,3940.73,439.74,3500.99,6,
310045,CITY CARE FAISAL 04,740,02-Aug-2025,09:02:46,,Giza,Faisal,3703.85,885.89,2817.96,7,
310048,el zharaa faisal 6th Zone,722,26082025,10:29:23,FSL/228,,,11200.66,2851.99,8348.67,12,CLSD
310049,PY/AL AMAL FIASAL-A,733,27-Aug-2025,11:28:20,Faisal4 5 Abbas,Giza,Faisal,1580.48,202.20,1378.28,6,
310050,health gate faisal Mall201,736,08082025,08:56:38,"105 Port Said st., near mosque, FSL",,,3099.14,584.74,2514.40,4,CLSD
310052,El-EL OURATH FAISAL Branch 1,725,18082025,18:06:30,,,,1716.43,177.35,1539.08,2,CLSD
310055,El-ALPHA PHARMA FAISAL,715,10082025,12:16:04,Faisal 97 asr,,,6099.31,1038.59,5060.72,14,CLSD
310056,el star care faisal Mall,732,07-Aug-2025,14:57:52,,,,6664.61,977.84,5686.77,9,
310057,el El Zahraa (2)471,760,19082025,09:11:47,"221 Zayed st., near square, FSL",,,3168.89,548.38,2620.51,6,CLSD
310058,PH EL ZAHRAAA-A,766,24082025,11:40:02,,,,8221.58,734.48,7487.10,6,
310059,El-METR O(2),720,07082025,12:59:35,,,,10345.17,2914.82,7430.35,10,CLSD
310060,METOR507,762,21082025,13:25:08,FSL/213,,,5995.27,1159.50,4835.77,5,CLSD
310063,Ph/angel faisal Maall,756,17082025,11:57:47,FSL/209,,,4305.58,635.24,3670.34,6,CLSD
310066,OMEG AREHAB VIEW Station St.,775,28082025,13:55:59,,,,3601.82,759.18,2842.64,4,CLSD
310067,EL Nile Care Faisal Branch 2,719,17082025,12:10:27,"Horreya 228, FSL zone",,,3341.56,211.26,3130.30,11,CLSD
310068,PY/EL BARAKA (2),716,23082025,11:53:12,,,,1853.32,330.43,1522.89,3,CLSD
310070,El-el baraka-A,716,24082025,10:02:04,,Giza,Mohandessin,9974.61,1766.48,8208.13,9,
310071,Ph/DDR MEDHAT IMBABA Branch 2,729,14082025,09:23:07,,,,8006.65,1689.34,6317.31,9,CLSD
310072,DR MDHAT IMBABA Main Road,747,08082025,08:52:47,FSL/149,,,4902.55,1080.14,3822.41,11,
310074,Life Lie br.2,736,06082025,12:40:34,,,,4155.81,907.48,3248.33,6,
310075,PH Omega,730,19082025,13:07:09,,,,3230.76,883.49,2347.27,4,CLSD
310076,el HOPE FAISAL 04,730,22082025,12:02:07,,,,607.38,113.44,493.94,2,
310080,el HOPE FAISAL 04,761,26-Aug-2025,09:39:24,FSL/106,,,5126.63,1138.45,3988.18,10,
310084,Ph/al amal Station St.,761,19082025,17:14:25,,,,3525.05,862.40,2662.65,9,CLSD
310086,PH life line noza Main Road,706,12082025,08:04:50,"Horreya 102, FSL zone",,,8477.65,1518.98,6958.67,8,CLSD
310087,Golden Care,758,01082025,09:48:22,,Giza,Faisal,909.48,199.61,709.87,2,
310088,Golden Care,708,12082025,08:45:20,"23 Mustafa Nahhas st., near hospital, FSL",,,11115.13,1827.01,9288.12,13,CLSD
310089,star cre obbour Station St.,757,22082025,11:13:27,,,,1456.29,167.28,1289.01,2,CLSD
310090,el star care obuor Mall,708,22082025,12:33:32,,Giza,Mohandessin,4672.57,928.31,3744.26,4,
310091,el a lnozha faisal br.2,728,19082025,16:24:17,Fasal 39 Tahrir,,,6773.94,699.95,6073.99,13,CLSD
310094,El-Hope Shubra Maiin Road,748,11082025,14:51:37,Faisla 85 Tahrir,,,4400.58,921.73,3478.85,9,CLSD
310096,PH LE HKOAMA NOZHA-A,773,18-Aug-2025,15:29:52,"179 Salah Salem st., near park, FSL",,,2692.08,633.64,2058.44,5,
310097,el EL HOKAMA OZHA br.2,719,18082025,11:51:10,,,,3489.03,409.08,3079.95,8,CLSD
310098,P HLE HOKAMA NOZHA-A,746,26082025,12:56:31,Fisal 91 Nasr,,,2857.87,353.34,2504.53,8,CLSD
310099,MisrF aisal 011130,723,09082025,12:13:08,,,,5670.19,521.20,5148.99,7,
310100,Star Care Dokki-A,729,03082025,11:17:47,Faisal1 1 Nasr,,,546.76,117.32,429.44,4,
310101,Star Care Dokki-A,763,19082025,13:05:28,FSL/19,,,6311.59,1183.88,5127.71,10,
310102,Metro Faisal,719,05-Aug-2025,10:04:16,"Nile 62, FSL zone",,,3234.13,315.79,2918.34,6,
310103,El-AL NOZHA15,716,09082025,10:17:46,,,,5747.92,1089.01,4658.91,10,CLSD
310104,EL Metro Nozha (2),776,23082025,15:09:01,"Nile 214, FSL zone",,,4370.93,593.33,3777.60,4,
310105,Ebn  Sina (2)576,731,28082025,15:05:15,,,,2571.97,324.24,2247.73,7,
310106,Ebn iSna (2)576,731,08082025,13:27:16,,,,2855.13,353.40,2501.73,8,
310107,PY/elite banha Branch 1,754,01082025,09:23:09,FSL/49,,,5784.19,1155.93,4628.26,5,CLSD
310108,PH Elite Banha Main Road,754,16082025,08:05:13,Faisal 65 Faial,Giza,Faisal,7728.73,1409.39,6319.34,9,
310109,El-El Baraka Faisal Mall380,765,04082025,15:45:47,Faisal 8 Abbas,,,4134.86,255.51,3879.35,6,
310110,EL Star Care Agami ((2),745,05082025,14:28:07,,,,5430.18,778.75,4651.43,11,
310111,El Barkaa Branch 2,701,18082025,18:12:37,MHS/27,,,3321.90,882.10,2439.80,5,
310113,Pharm aPlus Mall,719,04082025,12:34:05,,,,3696.22,374.65,3321.57,7,CLSD
310114,Ph/PHARMA PLUS,736,12082025,08:29:28,,,,1285.71,266.03,1019.68,7,CLSD
310115,el mira mohandessin Main Road,752,15082025,10:49:42,,,,4126.80,900.20,3226.60,4,CLSD
310116,silver care haram 04,736,26082025,11:15:49,blk 15 - MHS - park,Giza,Mohandessin,2463.66,424.89,2038.77,6,CLSD
310117,PH iSlver Care Haram Main Road,706,08082025,14:46:26,,,,7394.28,1391.30,6002.98,8,
310118,silver care ahram 04,763,24082025,14:52:34,,,,3325.43,653.07,2672.36,8,CLSD
310119,el Angel Mohandessin,776,11082025,09:09:54,,,,3014.00,361.79,2652.21,3,
310120,el GREEN LEAF AGAMI,704,23082025,11:30:15,,Cairo,Nasr City,4407.64,359.36,4048.28,7,CLSD
310121,Ph/Green Leaf Agami Branch 2,724,14082025,18:12:39,blk 19 - MHS - market,,,8732.18,1241.64,7490.54,15,
310123,UNION PHARM MOHANDESSIN 04,704,06082025,08:05:57,"4 Tahrir st., near market, MHS",,,2838.93,282.48,2556.45,9,CLSD
310124,el Green Leaf 011652,770,04082025,17:41:06,,,,3240.63,273.93,2966.70,9,CLSD
310125,Ell-omega50,724,18082025,10:20:51,,,,4991.84,730.01,4261.83,15,
310126,PH al nozha square,701,06082025,13:11:04,blk 23 - MHS - square,,,2712.87,685.92,2026.95,3,CLSD
310128,Ph/El Baraka Branch 2,702,15082025,16:16:36,,,,2672.24,273.38,2398.86,3,CLSD
310129,EL EL BRAAKA366,750,21082025,13:07:04,,,,2450.99,318.96,2132.03,8,CLSD
310130,Ph/FAMILY-A125,745,17082025,16:23:03,,,,3540.55,331.09,3209.46,6,
310131,PhF/AMILY-A125,720,22-Aug-2025,10:48:55,Mohandessn 167 Port Said,,,3472.10,768.80,2703.30,6,CLSD
310132,EL el shifa mohandessin Statoin St.,765,01082025,12:34:21,,,,2743.35,304.51,2438.84,5,CLSD
310133,METRO REHAB VIEW Braanch 1,748,03082025,14:13:03,"124 Abbas st., near police st., MHS",Giza,Faisal,5118.86,1193.20,3925.66,8,
310134,PY/metro rehab view Branch 2,757,01082025,18:10:18,MHS/65,,,2439.30,327.80,2111.50,5,CLSD
310136,El-Seha First Mohandessin,710,05082025,08:17:01,"Tahrir 194, MHS zone",,,2213.44,253.39,1960.05,9,
310137,PH Seha First Mohandessin Branch 1,732,22-Aug-2025,12:50:05,,,,2066.08,341.76,1724.32,3,CLSD
310138,EL SILVER WH-429,749,10082025,14:15:37,"111 Faisal st., near market, MHS",,,2946.93,571.62,2375.31,6,
310140,NILE CARE OCT CITY Station St.,701,19082025,14:07:43,MHS/180,,,5370.35,1435.31,3935.04,7,CLSD
310141,EL HSIFA SMOUHA,744,04-Aug-2025,09:47:07,blk 2 - MHS - mosque,,,4292.85,482.53,3810.32,9,CLSD
310143,El-Health Gate Dokki (2),709,24-Aug-2025,17:01:14,blk 6 - MHS - school,,,4019.01,767.94,3251.07,14,
310144,Ph/EL FARABY-A,751,28082025,09:24:47,,,,3271.18,442.73,2828.45,9,CLSD
310145,El--el faraby (2),709,20082025,10:37:11,blk 20 - MHS - bridge,,,3578.96,779.10,2799.86,3,
310146,El-CARE 24 SEVEN 6th Zone,734,02-Aug-2025,14:13:22,,,,2357.74,418.34,1939.40,4,CLSD
310147,el care 24 seen Mall,763,08082025,10:22:16,"32 Corniche st., near park, MHS",,,3329.16,821.03,2508.13,2,CLSD
310148,Golden Care Mohandessin,752,24082025,14:38:12,MHS/125,,,4987.06,1000.59,3986.47,7,CLSD
310149,PH silver care smoouha 04833,770,26082025,10:59:45,"144 Salah Salem st., near park, MHS",,,7028.06,609.80,6418.26,11,CLSD
310150,El-El Faraby Mohandessin 011,741,14082025,14:58:55,Mohandessin 58 uSdan,,,2086.75,467.28,1619.47,8,
310152,El--El Faraby Mohandessin 011,760,24082025,10:15:15,,,,4310.16,894.20,3415.96,6,CLSD
310153,Ell-seha first Station St.,722,21082025,12:16:14,,Alexandria,Smouha,4619.40,1328.94,3290.46,4,
310155,seha  first 04,753,12082025,15:02:18,,,,4994.69,1016.27,3978.42,8,
310156,PH Pharma Pls Mohandessin 011,771,13082025,08:03:10,,,,3802.50,213.19,3589.31,6,CLSD
310158,Ph/EL TOURATH MOHANDESSIN (2),714,06082025,09:51:55,"Salah Salem 200, MHS zone",,,2067.61,282.12,1785.49,6,CLSD
310163,PY/El Tourath Mohandessin,754,19082025,09:51:42,,,,4459.32,825.65,3633.67,7,
310166,EL EL TOURATH MOHANDESSIN br.2969,753,26082025,10:35:58,,,,3995.94,780.14,3215.80,6,CLSD
310167,PHEL TOURATH WH-458,765,06082025,09:09:03,MHS/199,,,1849.43,177.27,1672.16,7,CLSD
310168,el Life Line Imbaba 6thh Zone,771,16082025,15:18:58,,,,5495.82,432.96,5062.86,11,CLSD
310169,PY/Life Line Imbaba,755,06082025,10:46:13,,,,442.64,55.85,386.79,2,CLSD
310170,el life line imbaba br.2,752,20082025,13:47:41,blk 18 - MHS - hospital,,,7157.48,1442.49,5714.99,7,
310171,golden care Mall,704,15082025,10:11:47,"100 Corniche st., near metro, MHS",Giza,Mohandessin,7529.64,711.55,6818.09,11,
310172,el Golden Cae Station St.,724,09-Aug-2025,12:50:20,,,,4875.97,541.76,4334.21,7,CLSD
310173,El Tourath brr.2,703,17082025,14:09:49,"Industrial Zone 174, MHS zone",Cairo,Nasr City,9911.19,626.89,9284.30,9,
310174,EL EL TOURATH Mall,703,21082025,14:08:17,,,,5023.41,454.53,4568.88,9,CLSD
310175,El Tourath br.2,764,27082025,08:04:22,"Mustafa Nahhas 214, MHS zone",,,1985.15,412.14,1573.01,5,CLSD
310176,OMEGA,758,01082025,11:23:15,,,,2114.09,285.16,1828.93,5,CLSD
310177,Omega (2),749,18082025,18:27:56,,,,4383.01,795.63,3587.38,9,CLSD
310178,BLUE WAV WH-469,726,02082025,15:13:47,blk 26 - MHS - market,,,5280.02,416.46,4863.56,7,
310179,Silver Care Station St.632,724,17082025,10:43:13,blk 14 - MHS - school,,,4623.07,512.32,4110.75,8,
310181,PY/Metro Mohandessin-A394,713,28082025,17:28:11,,,,3817.93,699.05,3118.88,4,
310182,Silevr Care Mohandessin,746,19-Aug-2025,11:30:02,"Port Said 223, MHS zone",Cairo,Nasr City,5019.43,466.40,4553.03,12,
310184,Ph/EBN SINA SHUBRA Mall,750,20082025,15:10:10,"15 Nile st., near police st., MHS",,,5569.64,806.99,4762.65,5,
310185,EL STAR CARE 04,759,23082025,11:45:38,Mohandessin 3 8Gamet Dewal,,,3892.39,728.65,3163.74,10,CLSD
310186,Star Care bbr.2,742,14082025,13:33:51,,,,4172.01,1016.80,3155.21,4,CLSD
310187,ElSTAR CARE-A,709,18082025,09:15:40,MHS/213,,,6610.00,1398.17,5211.83,11,
310188,elite rehab view,711,11082025,10:04:15,"39 Tahrir st., near park, MHS",,,3326.22,404.47,2921.75,6,
310189,PH el baraka Branch 2,775,27-Aug-2025,11:52:25,Mohandessin 106 Mustafa aNhhas,,,5975.30,1247.41,4727.89,8,
310191,el MISR BANHA Branch 1923,744,21082025,09:37:48,MHS/8,Alexandria,Smouha,5184.62,541.89,4642.73,9,CLSD
310192,PH MISR BANHA br.2,754,08082025,10:02:03,MHS/199,Giza,Faisal,4559.50,827.07,3732.43,7,CLSD
310194,PY/Better Life Mohandessin 04,752,12-Aug-2025,08:42:10,,,,8953.10,1862.07,7091.03,12,CLSD
310195,Ph/El Zahraa Haram Main Road973,709,17082025,08:25:03,Mohandessin 234 Salah Sallem,,,7908.07,1496.26,6411.81,10,CLSD
310196,El-ALPHA PHARMA MONTAZA 04,776,07082025,12:21:01,"Tahrir 199, MHS zone",,,1123.90,95.95,1027.95,4,CLSD
